players not in dictionary:
Noah Syndergaard
Tom Murphy
Pedro Severino
Patrick Corbin
Hunter Renfroe
Francisco Liriano
Brett Nicholas
Bud Norris
Steve Selsky
Joe Ross
A.J. Pollock
Gerrit Cole
Manuel Margot
Robbie Ray
Junior Guerra
Josh Rutledge
Julio Teheran
Jeremy Hellickson
Steven Matz
Vince Velasquez
Andrew Cashner
Jake Peavy
Richie Shaffer
Matt den Dekker
Clayton Kershaw
Kyle Jensen
Jacob deGrom
Cory Spangenberg
Tyler Chatwood
Jaime Garcia
Jorge de la Rosa
Mike Leake
Tyler Anderson
Drew Pomeranz
Luis Perdomo
Paul Janish
Brandon Snyder
Chris Rusin
Mike Foltynewicz
Will Middlebrooks
Raimel Tapia
Wily Peralta
Leury Garcia
Colin Rea
Jon Niese
Brian Goodwin
Matt Wisler
Jon Gray
Austin Barnes
Brandon Finnegan
Jeff Locke
Gio Gonzalez
Kyle Hendricks
Anthony DeSclafani
Aaron Nola
Jason Rogers
Junior Lake
Francisco Pena
Adam Morgan
Scott Kazmir
Adam Conley
Reymond Fuentes
Craig Gentry
Matt McBride
Bartolo Colon
Christian Friedrich
Don Kelly
Matt Moore
Jameson Taillon
Matt Garza
John Lackey
Chase Anderson
Alberto Rosario
Tom Koehler
Ben Gamel
Tim Federowicz
Michael Wacha
Colin Walsh
Alen Hanson
Jimmy Nelson
Zach Davies
Archie Bradley
Joey Gallo
Shelby Miller
Chad Bettis
Chris Colabello
Jose Pirela
Mark Canha
Peter O'Brien
Emilio Bonifacio
Wei-Yin Chen
Dan Straily
Cedric Hunter
Tyler Ladendorf
